Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBath
11,20,RL,10.801402082475349,Pave,3,Lvl,0,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,4,4,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,3,4,CBlock,3,3,3,4,906,5,0,134,229.1706534357071,GasA,0,Y,4,1040,0,0,7.083377747205718,1,0,1,0,3,1,3,5,6,0,Detchd,2,1,153.04987885686307,4,4,2,0,0,0,0,0,0,2,2008,WD,Normal,129500,19.60040424629054,0.0,2.0
12,60,RL,10.88496648635567,Pave,0,Lvl,0,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,8,4,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286,0,4,PConc,0,3,3,2,998,5,0,177,250.92659738519586,GasA,0,Y,4,1182,1142,0,7.920307361859145,1,0,3,0,4,1,0,11,6,2,BuiltIn,0,3,260.04183387071083,4,4,2,147,21,0,0,0,0,7,2006,New,Partial,345000,22.494188675524633,18.215971634729087,4.0
13,20,RL,10.997189724003885,Pave,1,Lvl,0,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,4,5,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,3,4,CBlock,3,3,3,0,737,5,0,175,207.85255012481764,GasA,4,Y,4,912,0,0,6.9470778917574165,1,0,1,0,2,1,3,4,6,0,Detchd,2,1,142.56230810683695,4,4,2,140,0,0,0,176,0,9,2008,WD,Normal,144000,18.920004509953323,24.45919618220199,2.0
14,20,RL,10.734594288878688,Pave,0,Lvl,0,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,6,4,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,2,4,PConc,2,3,0,5,0,5,0,1494,299.92916135575575,GasA,0,Y,4,1494,0,0,7.459901849116267,0,0,2,0,3,1,2,7,6,1,Attchd,1,3,289.5745877038247,4,4,2,160,33,0,0,0,0,8,2007,New,Partial,279500,21.580965166727612,19.447395692849565,2.0
15,20,RL,10.767672610952753,Pave,0,Lvl,0,Corner,0,NAmes,Norm,Norm,1Fam,1Story,5,4,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,3,4,CBlock,3,3,3,1,733,5,0,520,263.1981815879486,GasA,4,Y,4,1253,0,0,7.276938788688658,1,0,1,1,2,1,3,5,6,1,Attchd,1,1,142.56230810683695,4,4,2,0,213,176,0,0,0,5,2008,WD,Normal,157000,20.59962934615583,26.90579077619214,2.5
16,45,RM,10.00342403459865,Pave,3,Lvl,0,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,4,BrkTil,3,3,3,5,0,5,0,832,194.1341093946477,GasA,0,Y,0,854,0,0,6.878929997280684,0,0,1,0,2,1,3,5,6,0,Detchd,2,2,212.9908068939074,4,4,2,48,112,0,0,0,0,7,2007,WD,Normal,132000,18.521648050544847,17.799823787313628,1.0
17,20,RL,10.806272318247949,Pave,0,Lvl,0,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,5,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,3,4,CBlock,3,3,3,0,578,5,0,426,223.24763176545358,GasA,0,Y,4,1004,0,0,7.046806076750402,1,0,1,0,2,1,3,5,6,1,Attchd,0,2,183.58894023363393,4,4,2,0,0,0,0,0,0,3,2010,WD,Normal,149000,19.415985692713434,0.0,2.0
18,90,RL,10.75184997831818,Pave,3,Lvl,0,Inside,0,Sawyer,Norm,Norm,Duplex,1Story,3,4,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,Slab,-1,-1,-1,-1,0,-1,0,0,0.0,GasA,4,Y,4,1296,0,0,7.312016640246765,0,0,2,0,2,2,3,6,6,0,CarPort,2,2,194.7339079497487,4,4,2,0,0,0,0,0,0,10,2006,WD,Normal,90000,17.238060650535285,0.0,2.0
19,20,RL,11.07027825191681,Pave,3,Lvl,0,Inside,0,SawyerW,RRAe,Norm,1Fam,1Story,4,4,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,PConc,3,3,3,2,646,5,0,468,241.1814250948732,GasA,0,Y,4,1114,0,0,7.154758584409821,1,0,1,1,3,1,2,6,6,0,Detchd,2,2,212.9908068939074,4,4,2,0,102,0,0,0,0,6,2008,WD,Normal,159000,19.964327864560765,14.34114037134173,2.5
20,20,RL,10.280738909744244,Pave,3,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,4,5,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0,3,4,CBlock,3,3,3,3,504,5,0,525,227.36658354810598,GasA,4,Y,4,1339,0,0,7.3459565329622185,0,0,1,0,3,1,3,6,2,0,Attchd,2,1,123.07673336761624,4,4,2,0,0,0,0,0,0,5,2009,COD,Abnorml,139000,20.291564060294988,0.0,1.0
21,60,RL,11.120284669321252,Pave,0,Lvl,0,Corner,0,NridgHt,Norm,Norm,1Fam,2Story,7,4,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,2,4,PConc,0,3,0,5,0,5,0,1158,248.2242469687273,GasA,0,Y,4,1158,1218,0,7.943398409241193,0,0,3,1,4,1,2,9,6,1,BuiltIn,1,3,293.2160971026143,4,4,2,240,154,0,0,0,0,11,2006,New,Partial,325300,22.5528205373417,27.06325743774328,3.5
22,45,RM,10.261268083786884,Pave,3,Bnk,0,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,6,6,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,4,PConc,3,3,3,5,0,5,0,637,159.1394868022654,GasA,0,Y,1,1108,0,0,7.149149116334467,0,0,1,0,3,1,2,6,6,1,Attchd,2,1,118.26892625918688,4,4,0,0,0,205,0,0,0,6,2007,WD,Normal,139400,18.69496978506223,20.005850465448543,1.0
23,20,RL,10.615925060768822,Pave,3,Lvl,0,Inside,0,CollgCr,Norm,Norm,1Fam,1Story,7,4,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,2,4,PConc,2,3,3,5,0,5,0,1777,341.1451947186104,GasA,0,Y,4,1795,0,0,7.651015142714428,0,0,2,0,3,1,2,7,6,1,Attchd,1,2,200.2510356429242,4,4,2,171,159,0,0,0,0,9,2008,WD,Normal,230000,22.615965709716303,24.951916970638493,2.0
24,120,RM,9.521192418787633,Pave,3,Lvl,0,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,4,6,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0,3,4,PConc,2,3,3,2,840,5,0,200,229.1706534357071,GasA,4,Y,4,1060,0,0,7.103155580789022,1,0,1,0,3,1,3,6,6,1,Attchd,2,2,211.78522968974394,4,4,2,100,110,0,0,0,0,6,2007,WD,Normal,129900,19.650743972823403,20.232973407372132,2.0
25,20,RL,10.395254185295071,Pave,0,Lvl,0,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,4,7,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,3,2,CBlock,3,3,2,4,188,0,668,204,232.43812561999195,GasA,0,Y,4,1060,0,0,7.103155580789022,1,0,1,0,3,1,2,6,6,1,Attchd,2,1,114.80711545861739,4,4,2,406,90,0,0,0,0,5,2010,WD,Normal,154000,19.70070997707421,30.05245818880376,2.0
26,20,RL,11.12170070547256,Pave,3,Lvl,0,Corner,0,NridgHt,Norm,Norm,1Fam,1Story,7,4,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,2,4,PConc,2,3,3,5,0,5,0,1566,310.5947166137386,GasA,0,Y,4,1600,0,0,7.531248453385112,0,0,2,0,3,1,2,7,6,1,Attchd,1,3,303.52382983062387,4,4,2,0,56,0,0,0,0,7,2009,WD,Normal,256300,21.91205215167436,10.655125272577791,2.0
27,20,RL,10.21654718199229,Pave,3,Lvl,0,Corner,0,NAmes,Norm,Norm,1Fam,1Story,4,6,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,4,CBlock,3,3,2,1,234,4,486,180,205.81538449606143,GasA,4,Y,4,900,0,0,6.933338605428781,0,1,1,0,3,1,2,5,6,0,Detchd,2,2,212.9908068939074,4,4,2,222,32,0,0,0,0,5,2010,WD,Normal,134800,18.85245960661535,22.109654088355583,1.5
28,20,RL,10.834091687915576,Pave,3,Lvl,0,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,7,4,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,2,4,PConc,0,3,3,2,1218,5,0,486,330.68831064002586,GasA,0,Y,4,1704,0,0,7.5968222804982455,1,0,2,0,3,1,2,7,6,1,Attchd,1,3,270.3485980801,4,4,2,0,50,0,0,0,0,5,2010,WD,Normal,306000,22.339568535695538,10.059006866879598,3.0
29,20,RL,11.306169936080263,Pave,0,Lvl,0,CulDSac,0,NAmes,Norm,Norm,1Fam,1Story,4,5,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,3,3,1,1,1277,5,0,207,298.43737057434777,GasA,4,Y,4,1600,0,0,7.531248453385112,1,0,1,0,2,1,3,6,6,2,Attchd,1,1,131.5569326277967,4,4,2,288,258,0,0,0,0,12,2006,WD,Normal,207500,21.76138857862043,31.38795278704398,2.0
30,30,RM,10.046337437011609,Pave,0,Lvl,0,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,3,5,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,BrkTil,3,3,3,5,0,5,0,520,136.80714071472175,GasA,1,N,4,520,0,0,6.36540737020565,0,0,1,0,1,1,1,4,6,0,Detchd,2,1,104.27195618281822,1,4,2,49,0,87,0,0,0,5,2008,WD,Normal,68500,16.219423356908283,16.47423809921513,1.0
31,70,C (all),10.435325309936404,Pave,3,Lvl,0,Inside,0,IDOTRR,Feedr,Norm,1Fam,2Story,3,3,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,3,1,BrkTil,3,3,3,5,0,5,0,649,161.36666091156306,GasA,4,N,4,649,668,0,7.3287294960553755,0,0,1,0,3,1,3,6,6,0,Detchd,2,1,107.80978564947371,4,1,0,0,54,172,0,0,0,7,2008,WD,Normal,40000,19.306006238162286,20.939511343667967,1.0
32,20,RL,10.442148636526476,Pave,0,Lvl,0,CulDSac,0,Sawyer,Norm,Norm,1Fam,1Story,4,5,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,3,4,CBlock,3,3,3,5,0,5,0,1228,259.2872167422959,GasA,2,Y,4,1228,0,0,7.255990573018996,0,0,1,1,3,1,2,6,6,0,Attchd,2,1,115.15436807694248,4,4,2,0,65,0,0,0,0,6,2008,WD,Normal,149350,20.489581318434166,11.484732814435604,1.5
33,20,RL,10.783315131642256,Pave,3,Lvl,0,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,7,4,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,2,4,PConc,0,3,0,5,0,5,0,1234,260.22772276160987,GasA,0,Y,4,1234,0,0,7.261056537156501,0,0,2,0,3,1,2,7,6,0,Attchd,1,2,184.8348505634318,4,4,2,0,30,0,0,0,0,1,2008,WD,Normal,179900,20.516151608379765,7.707812497982981,2.0
34,20,RL,10.72204462556615,Pave,0,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,4,4,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,3,4,CBlock,3,3,3,4,1018,5,0,380,285.497487257979,GasA,2,Y,4,1700,0,0,7.594374653996865,0,1,1,1,4,1,2,6,6,1,Attchd,1,2,173.2336497108089,4,4,2,0,38,0,0,0,0,4,2010,WD,Normal,165500,21.78733177072585,8.731040659592125,2.0
35,120,RL,10.23702499256144,Pave,3,Lvl,0,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,8,4,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,0,4,PConc,0,3,3,2,1153,5,0,408,309.8582381377608,GasA,0,Y,4,1561,0,0,7.505559951880985,1,0,2,0,2,1,0,6,6,1,Attchd,0,2,206.94689197807605,4,4,2,203,47,0,0,0,0,8,2007,WD,Normal,277500,21.831593154205944,21.947210404432752,3.0
36,60,RL,11.042883823664516,Pave,3,Lvl,0,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,7,4,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,2,4,PConc,0,3,0,5,0,5,0,1117,241.6638881129993,GasA,0,Y,4,1132,1320,0,7.976258743825779,0,0,3,1,4,1,2,9,6,1,BuiltIn,0,3,247.02340410300883,4,4,2,113,32,0,0,0,0,9,2006,WD,Normal,309000,22.610999728391487,16.98599321173687,3.5
37,20,RL,10.760213295987478,Pave,3,Lvl,0,Corner,0,CollgCr,Norm,Norm,1Fam,1Story,4,4,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,PConc,2,3,3,5,0,5,0,1097,238.44104684622175,GasA,0,Y,4,1097,0,0,7.138786256445434,0,0,1,1,3,1,3,6,6,0,Attchd,2,2,241.4791565423919,4,4,2,392,64,0,0,0,0,6,2009,WD,Normal,145000,19.882436303002542,28.92690775938643,1.5
38,20,RL,10.440291112442218,Pave,3,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,4,5,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,3,4,CBlock,3,3,3,4,1213,5,0,84,270.0325984636272,GasA,2,Y,4,1297,0,0,7.3128185730787,0,1,1,0,3,1,3,5,6,1,Attchd,0,2,189.18039817129292,4,4,2,0,0,0,0,0,0,10,2009,WD,Normal,153000,20.789209471828872,0.0,1.5
39,20,RL,10.342367130878499,Pave,3,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,4,6,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,CBlock,3,3,3,2,731,5,0,326,231.9490341168594,GasA,4,Y,4,1057,0,0,7.100212661161425,1,0,1,0,3,1,2,5,6,0,Detchd,2,1,106.39790612188023,4,4,2,0,52,0,0,0,0,1,2010,WD,Abnorml,109000,19.685759041004196,10.2620185420116,2.0
40,90,RL,9.986215754082945,Pave,3,Lvl,0,Inside,0,Edwards,Norm,Norm,Duplex,1Story,3,4,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0,3,4,PConc,-1,-1,-1,-1,0,-1,0,0,0.0,GasA,4,N,2,1152,0,0,7.189602917283217,0,0,2,0,2,2,1,6,6,0,,-1,0,0.0,-1,-1,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000,16.686787198534937,0.0,2.0
41,20,RL,10.459670085466657,Pave,3,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,4,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,3,4,CBlock,3,3,3,4,643,5,0,445,236.98579007538336,GasA,0,Y,4,1324,0,0,7.334241649682499,0,0,2,0,3,1,3,6,6,1,Attchd,1,2,171.01884978934424,4,4,2,0,138,0,0,0,0,12,2006,WD,Abnorml,160000,20.391279343172716,16.589605732133077,2.0
42,20,RL,11.35359960518591,Pave,3,Lvl,0,Inside,0,Timber,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,3,2,CBlock,3,3,1,1,967,5,0,383,278.18542719506513,GasA,2,Y,4,1328,0,0,7.337378464062153,0,1,1,1,2,1,3,5,6,2,Attchd,1,1,127.84165050972572,4,4,1,0,104,0,0,0,0,7,2007,WD,Normal,170000,20.965534172242254,14.477038034181078,2.0
43,85,RL,10.53714629548599,Pave,0,Lvl,0,CulDSac,0,SawyerW,Norm,Norm,1Fam,SFoyer,4,6,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,3,4,CBlock,2,3,0,0,747,3,93,0,195.52092191352273,GasA,2,Y,4,884,0,0,6.914733739091339,1,0,1,0,2,1,2,5,6,0,Attchd,1,2,191.03570471330735,4,2,2,240,0,0,0,0,0,12,2007,WD,Normal,144000,18.633811989276552,21.534428007687616,2.0
44,20,RL,10.540029081290903,Pave,0,Lvl,0,CulDSac,0,CollgCr,Norm,Norm,1Fam,1Story,4,5,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,2,3,0,3,280,1,491,167,212.24268170147462,GasA,4,Y,4,938,0,0,6.976240372722746,1,0,1,0,3,1,3,5,6,0,Detchd,2,1,127.84165050972572,4,4,2,145,0,0,0,0,0,7,2008,WD,Normal,130250,19.063999833961017,16.98599321173687,2.0
45,20,RL,10.346189969724142,Pave,3,Lvl,0,Inside,0,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,3,4,CBlock,3,3,3,0,179,1,506,465,246.94898592732943,GasA,0,Y,0,1150,0,0,7.187797669512608,1,0,1,0,3,1,3,6,6,0,Attchd,1,1,125.12395296929101,4,4,2,0,0,0,0,0,0,5,2006,WD,Normal,141000,20.134568349651403,0.0,2.0
46,120,RL,10.297700465485217,Pave,3,Lvl,0,Inside,0,NridgHt,Norm,Norm,TwnhsE,1Story,8,4,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,0,4,PConc,0,3,3,2,456,5,0,1296,337.57688678952303,GasA,0,Y,4,1752,0,0,7.625756379688372,1,0,2,0,2,1,0,6,6,1,Attchd,1,2,212.9908068939074,4,4,2,196,82,0,0,0,0,2,2010,WD,Normal,319900,22.50259267496104,23.054673908802048,3.0
47,50,RL,10.982033870259178,Pave,0,Lvl,0,CulDSac,0,Mitchel,Norm,Norm,1Fam,1.5Fin,6,4,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,2,4,PConc,0,3,3,2,1351,5,0,83,290.9386904531621,GasA,0,Y,4,1518,631,0,7.838639531792613,1,0,1,1,1,1,2,6,6,1,Attchd,1,2,240.89384542933738,4,4,2,168,43,0,0,198,0,8,2009,WD,Abnorml,239686,22.634146429749467,27.528847918260674,2.5
48,20,FV,10.788970390032507,Pave,3,Lvl,0,Inside,0,Somerst,Norm,Norm,1Fam,1Story,7,4,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0,2,4,PConc,2,3,0,2,24,5,0,1632,323.7490421406038,GasA,0,Y,4,1656,0,0,7.567066515904705,0,0,2,0,3,1,2,7,6,0,Attchd,1,3,285.64105713995014,4,4,2,0,146,0,0,0,0,7,2007,WD,Normal,249700,22.17291014769324,17.041714581006026,2.0
49,190,RM,9.590391768156449,Pave,3,Lvl,0,Inside,0,OldTown,Norm,Norm,2fmCon,2Story,3,4,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,BrkTil,3,3,3,5,0,5,0,736,177.20862930019345,GasA,2,Y,4,736,716,0,7.43023078462721,0,0,2,0,2,3,3,8,6,0,,-1,0,0.0,-1,-1,0,0,0,102,0,0,0,6,2009,New,Partial,113000,19.867881931406842,14.34114037134173,2.0
50,20,RL,10.312072356291297,Pave,3,Lvl,0,Inside,0,Sawyer,Norm,Norm,1Fam,1Story,4,6,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0,3,4,CBlock,3,3,3,1,763,5,0,192,215.09602895562688,GasA,0,Y,4,955,0,0,6.994877127313153,1,0,1,0,3,1,3,6,6,0,Attchd,2,1,153.6997578625603,4,4,2,0,0,0,0,0,0,1,2007,WD,Normal,127000,19.156470721278584,0.0,2.0
51,60,RL,11.087213027739223,Pave,1,Lvl,0,Corner,0,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,PConc,2,3,0,2,182,5,0,612,187.49859096456422,GasA,2,Y,4,794,676,0,7.443050048433535,0,1,2,0,3,1,3,6,6,0,Attchd,0,2,154.34900327527558,4,4,2,0,75,0,0,0,0,7,2007,WD,Normal,177000,20.049977647597558,12.332907397091288,2.5
52,50,RM,10.028832026741652,Pave,3,Lvl,0,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,4,PConc,3,3,3,5,0,5,0,816,191.3500241353408,GasA,4,Y,4,816,0,360,7.21102623548847,0,0,1,0,3,1,3,6,6,1,Detchd,2,2,198.41594373273853,4,4,2,112,0,0,0,0,0,9,2006,WD,Normal,114500,19.374302904504333,15.006150224485014,1.0
53,90,RM,10.430965348960754,Grvl,1,Bnk,0,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,4,4,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,1,4,CBlock,2,3,1,3,104,2,712,0,191.3500241353408,GasA,4,N,4,816,0,0,6.8317411556674745,1,0,1,0,2,1,3,5,6,0,CarPort,2,2,194.7339079497487,4,4,2,106,0,0,0,0,0,5,2010,WD,Normal,110000,18.358804712231095,14.611445107073678,2.0
